school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1001,清华大学,2023,浙江,本科批,综合改革,,,691,4470,193
1001,清华大学,2024,浙江,本科批,综合改革,,,692,4414,77
1002,北京大学,2023,浙江,本科批,综合改革,,,680,5134,128
1002,北京大学,2024,浙江,本科批,综合改革,,,683,4944,44
1003,复旦大学,2023,浙江,本科批,综合改革,,,662,6442,106
1003,复旦大学,2024,浙江,本科批,综合改革,,,666,6125,194
1004,上海交通大学,2023,浙江,本科批,综合改革,,,654,7125,63
1004,上海交通大学,2024,浙江,本科批,综合改革,,,655,7036,89
1005,浙江大学,2023,浙江,本科批,综合改革,,,652,7307,40
1005,浙江大学,2024,浙江,本科批,综合改革,,,655,7036,149
1006,南京大学,2023,浙江,本科批,综合改革,,,648,7685,186
1006,南京大学,2024,浙江,本科批,综合改革,,,653,7216,44
1007,中国科学技术大学,2023,浙江,本科批,综合改革,,,654,7125,108
1007,中国科学技术大学,2024,浙江,本科批,综合改革,,,653,7216,37
1008,华中科技大学,2023,浙江,本科批,综合改革,,,637,8828,151
1008,华中科技大学,2024,浙江,本科批,综合改革,,,631,9521,60
1009,武汉大学,2023,浙江,本科批,综合改革,,,626,10140,35
1009,武汉大学,2024,浙江,本科批,综合改革,,,637,8828,133
1010,中山大学,2023,浙江,本科批,综合改革,,,622,10665,73
1010,中山大学,2024,浙江,本科批,综合改革,,,631,9521,193
1011,西安交通大学,2023,浙江,本科批,综合改革,,,630,9642,60
1011,西安交通大学,2024,浙江,本科批,综合改革,,,623,10531,130
1012,北京航空航天大学,2023,浙江,本科批,综合改革,,,628,9888,122
1012,北京航空航天大学,2024,浙江,本科批,综合改革,,,625,10269,92
1013,同济大学,2023,浙江,本科批,综合改革,,,624,10399,137
1013,同济大学,2024,浙江,本科批,综合改革,,,625,10269,65
1014,北京理工大学,2023,浙江,本科批,综合改革,,,624,10399,124
1014,北京理工大学,2024,浙江,本科批,综合改革,,,618,11216,91
1015,哈尔滨工业大学,2023,浙江,本科批,综合改革,,,617,11358,19
1015,哈尔滨工业大学,2024,浙江,本科批,综合改革,,,617,11358,175
1016,天津大学,2023,浙江,本科批,综合改革,,,607,12884,35
1016,天津大学,2024,浙江,本科批,综合改革,,,607,12884,39
1017,东南大学,2023,浙江,本科批,综合改革,,,605,13213,83
1017,东南大学,2024,浙江,本科批,综合改革,,,611,12251,43
1018,厦门大学,2023,浙江,本科批,综合改革,,,614,11796,37
1018,厦门大学,2024,浙江,本科批,综合改革,,,615,11648,89
1019,华南理工大学,2023,浙江,本科批,综合改革,,,599,14251,130
1019,华南理工大学,2024,浙江,本科批,综合改革,,,612,12097,38
1020,北京师范大学,2023,浙江,本科批,综合改革,,,606,13047,166
1020,北京师范大学,2024,浙江,本科批,综合改革,,,604,13381,92
1021,电子科技大学,2023,浙江,本科批,综合改革,,,606,13047,72
1021,电子科技大学,2024,浙江,本科批,综合改革,,,606,13047,12
1022,中南大学,2023,浙江,本科批,综合改革,,,593,15370,82
1022,中南大学,2024,浙江,本科批,综合改革,,,594,15178,71
1023,山东大学,2023,浙江,本科批,综合改革,,,596,14800,58
1023,山东大学,2024,浙江,本科批,综合改革,,,600,14072,99
1024,大连理工大学,2023,浙江,本科批,综合改革,,,590,15963,187
